JabalPur,India,1327,585
Tokyo,Japan,1602,584
Sidney,Australia,1693,866
Moscow,Russia,1123,422
Rio de Janeiro,Brazil,673,834
Vancouver,Canada,288,490
London,United Kingdom,922,473
Paris,France,905,540
San Francisco,USA,300,532
